,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
109,JMI0111048,17703722,212,6435,Computer,Electronics,Electrical,Mechanical,Civil
110,JMI0046560,11107137,212,6469,Computer,Electronics,Electrical,Mechanical,Civil
111,JMI0027175,19402752,212,6476,Computer,Mechanical,Civil,Electrical,Electronics
112,JMI0010017,11642657,211,6492,Computer,Electrical,Mechanical,Civil,Electronics
113,JMI0010684,20203200,211,6513,Mechanical,Electrical,Electronics,Civil,Computer
114,JMI0018297,17715018,211,6594,Computer,Mechanical,Electrical,Electronics,Civil
115,JMI0014729,51602009,210,6703,Mechanical,Computer,Electronics,Electrical,Civil
116,JMI0017899,17713823,210,6716,Computer,Mechanical,Civil,Electronics,Electrical
117,JMI0004114,11606377,210,6719,Computer,Electronics,Electrical,Mechanical,Civil
118,JMI0001180,12801909,210,6733,Computer,Mechanical,Electronics,Electrical,Civil
119,JMI0031030,11648877,210,6735,Computer,Mechanical,Electronics,Civil,Electrical
120,JMI0003103,11616704,210,6745,Computer,Electronics,Mechanical,Electrical,Civil
121,JMI0084869,19805020,210,6757,Electronics,Mechanical,Electrical,Computer,Civil
122,JMI0010753,11622194,210,6808,Computer,Computer,Electronics,Electrical,Mechanical
123,JMI0044672,59400499,209,6858,Computer,Mechanical,Electrical,Civil,Electronics
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
124,JMI0051402,19401947,209,6859,Electronics,Electrical,Mechanical,Civil,Computer
125,JMI0078405,51605259,209,6960,Computer,Mechanical,Electronics,Electrical,Civil
126,JMI0073769,17739545,209,6992,Computer,Electronics,Electrical,Mechanical,Civil
127,JMI0106590,19913727,209,6995,Computer,Electrical,Mechanical,Civil,Electronics
128,JMI0002953,11632727,209,7009,Computer,Electronics,Mechanical,Electrical,Civil
129,JMI0034005,19809290,209,7021,Computer,Electronics,Mechanical,Electrical,Civil
130,JMI0031932,19311256,208,7035,Computer,Electronics,Mechanical,Electrical,Civil
131,JMI0032810,12802855,208,7057,Computer,Electronics,Electrical,Mechanical,Civil
132,JMI0006026,11622976,208,7114,Computer,Electronics,Electrical,Mechanical,Civil
133,JMI0012737,11603774,208,7124,Computer,Mechanical,Electronics,Civil,Electrical
134,JMI0007640,11142760,208,7142,Computer,Electrical,Mechanical,Electronics,Civil
135,JMI0014677,11630102,208,7160,Computer,Electronics,Electrical,Mechanical,Civil
136,JMI0008548,19202663,208,7185,Computer,Electrical,Mechanical,Electronics,Civil
137,JMI0012021,51608292,207,7222,Computer,Electronics,Mechanical,Electrical,Civil
138,JMI0011131,11635619,207,7282,Mechanical,Electrical,Electronics,Computer,Civil
139,JMI0105506,11649751,207,7299,Electronics,Mechanical,Electrical,Computer,Civil
140,JMI0051561,11615215,207,7379,Computer,Electronics,Mechanical,Electrical,Civil
141,JMI0013627,19702159,206,7403,Computer,Mechanical,Electrical,Electronics,Civil
142,JMI0004497,11602795,206,7488,Computer,Electronics,Electrical,Mechanical,Civil
143,JMI0008723,11648623,206,7559,Computer,Electronics,Electrical,Mechanical,Civil
144,JMI0004744,12802824,205,7604,Computer,Electrical,Mechanical,Electronics,Civil
145,JMI0006772,11626567,205,7605,Computer,Electrical,Electronics,Mechanical,Civil
146,JMI0002221,11606629,204,7787,Computer,Mechanical,Electronics,Electrical,Civil
147,JMI0016325,12900649,204,7814,Computer,Electronics,Electrical,Mechanical,Civil
148,JMI0093093,59801613,204,7826,Computer,Computer,Computer,Electronics,Electrical
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
149,JMI0037674,11614938,204,7863,Mechanical,Computer,Electrical,Electronics,Civil
150,JMI0085734,11630408,204,7880,Computer,Electronics,Electrical,Mechanical,Civil
151,JMI0015712,17500737,204,7914,Computer,Electrical,Mechanical,Electronics,Civil
152,JMI0083478,60100186,203,7928,Civil,Computer,Mechanical,Electrical,Electronics
153,JMI0001300,11629775,203,7932,Computer,Electrical,Mechanical,Civil,Electronics
154,JMI0009192,11622462,203,8017,Computer,Electrical,Mechanical,Electronics,Civil
155,JMI0001197,11640092,203,8059,Computer,Electronics,Electrical,Mechanical,Civil
156,JMI0011608,12801182,203,8062,Computer,Electrical,Civil,Mechanical,Electronics
157,JMI0113862,11606890,203,8064,Mechanical,Computer,Electrical,Civil,Electronics
158,JMI0010296,11621546,202,8121,Computer,Mechanical,Electronics,Electrical,Civil
159,JMI0002749,14904040,202,8122,Computer,Electronics,Mechanical,Electrical,Civil
160,JMI0057905,13100039,202,8175,Computer,Electronics,Electrical,Mechanical,Civil
161,JMI0008973,11630625,202,8211,Computer,Electronics,Mechanical,Electrical,Civil
162,JMI0016460,12801308,202,8226,Mechanical,Electrical,Civil,Electronics,Computer
163,JMI0005787,15618977,202,8243,Computer,Mechanical,Civil,Mechanical,Mechanical
164,JMI0000875,19918629,202,8257,Mechanical,Electrical,Civil,Computer,Electronics
165,JMI0013423,11123917,202,8267,Computer,Mechanical,Electronics,Civil,Electrical
166,JMI0085792,11642422,201,8287,Computer,Mechanical,Electrical,Civil,Electronics
167,JMI0001808,10904388,201,8332,Computer,Electronics,Electrical,Mechanical,Civil
168,JMI0001849,10904388,201,8332,Computer,Electrical,Mechanical,Electronics,Civil
169,JMI0011977,11651398,201,8402,Computer,Electrical,Electronics,Mechanical,Civil
170,JMI0065288,14503288,201,8407,Electronics,Mechanical,Electrical,Computer,Civil
171,JMI0055596,59701097,201,8421,Computer,Electrical,Mechanical,Electronics,Civil
172,JMI0004504,12803066,201,8425,Mechanical,Computer,Electrical,Electronics,Civil
173,JMI0011018,11616594,201,8431,Computer,Electronics,Mechanical,Electrical,Civil
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
174,JMI0013306,11649507,200,8533,Computer,Computer,Electrical,Electrical,Computer
175,JMI0002286,12801128,200,8556,Computer,Electronics,Electrical,Mechanical,Civil
176,JMI0016464,12801355,200,8650,Mechanical,Computer,Electrical,Electronics,Civil
177,JMI0085035,11648489,200,8665,Computer,Electronics,Electrical,Civil,Mechanical
178,JMI0015680,19700151,199,8692,Civil,Computer,Electrical,Electronics,Mechanical
179,JMI0000410,21203153,199,8750,Computer,Electrical,Electronics,Mechanical,Civil
180,JMI0017142,19913533,199,8796,Computer,Civil,Electrical,Electronics,Mechanical
181,JMI0010491,11629929,199,8798,Computer,Electronics,Mechanical,Electrical,Civil
182,JMI0008503,11617665,198,8953,Computer,Electrical,Electronics,Mechanical,Civil
183,JMI0116546,11617561,198,8985,Computer,Electronics,Electrical,Mechanical,Civil
184,JMI0001195,11617561,198,8985,Computer,Electronics,Electrical,Mechanical,Civil
185,JMI0003905,21200279,198,9043,Computer,Mechanical,Electronics,Electrical,Civil
186,JMI0011014,17800847,197,9132,Computer,Electronics,Electrical,Mechanical,Civil
187,JMI0001207,11105080,197,9148,Computer,Electronics,Electrical,Mechanical,Civil
188,JMI0051093,17739834,197,9168,Computer,Electrical,Electronics,Mechanical,Civil
189,JMI0006143,13703146,197,9195,Electronics,Computer,Civil,Electrical,Mechanical
190,JMI0011237,11639433,197,9281,Computer,Mechanical,Electronics,Civil,Electrical
191,JMI0015293,11610878,197,9292,Computer,Mechanical,Electrical,Electronics,Civil
192,JMI0026823,51606198,196,9340,Computer,Electronics,Mechanical,Electrical,Civil
193,JMI0000405,19806243,196,9452,Computer,Mechanical,Electrical,Civil,Electronics
194,JMI0003536,11651649,196,9503,Computer,Electronics,Mechanical,Electrical,Civil
195,JMI0015311,21202101,195,9548,Computer,Mechanical,Civil,Electrical,Electronics
196,JMI0038663,19501731,195,9563,Computer,Electrical,Electronics,Mechanical,Civil
197,JMI0000432,11624153,195,9630,Computer,Electronics,Mechanical,Electrical,Civil
198,JMI0012127,19201608,195,9639,Computer,Electronics,Electrical,Mechanical,Civil
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
199,JMI0030303,17701357,195,9653,Computer,Mechanical,Electrical,Civil,Electronics
200,JMI0110482,11614140,195,9694,Computer,Electronics,Mechanical,Electrical,Civil
201,JMI0001752,19806627,195,9744,Computer,Mechanical,Electrical,Electronics,Civil
202,JMI0013368,11625451,194,9823,Computer,Electronics,Mechanical,Electrical,Civil
203,JMI0031323,15002572,194,9857,Mechanical,Electrical,Electronics,Civil,Computer
204,JMI0007909,11649048,194,9912,Computer,Electronics,Mechanical,Electrical,Civil
205,JMI0002974,11633074,194,9930,Computer,Electronics,Electrical,Mechanical,Civil
206,JMI0009683,51607863,193,9985,Computer,Electronics,Electrical,Mechanical,Civil
207,JMI0018602,11617339,193,10081,Computer,Electrical,Electronics,Mechanical,Civil
208,JMI0012703,11646853,193,10083,Mechanical,Electronics,Electrical,Computer,Civil
209,JMI0004622,11615257,193,10087,Computer,Electronics,Electrical,Mechanical,Civil
210,JMI0013317,11112547,193,10117,Computer,Electrical,Electronics,Mechanical,Civil
211,JMI0006738,11641030,193,10123,Computer,Mechanical,Electrical,Electronics,Civil
212,JMI0000871,11646504,193,10144,Computer,Electronics,Electrical,Mechanical,Civil
213,JMI0003117,13606750,193,10174,Civil,Electrical,Mechanical,Computer,Electronics
214,JMI0030724,12803203,193,10179,Computer,Electronics,Electrical,Mechanical,Civil
215,JMI0017579,11651069,193,10197,Computer,Civil,Electronics,Electrical,Mechanical
216,JMI0009960,11626378,192,10204,Computer,Mechanical,Civil,Electrical,Electronics
217,JMI0049245,11623139,192,10217,Computer,Electronics,Electrical,Mechanical,Civil
218,JMI0012153,12901581,192,10285,Computer,Electronics,Electrical,Mechanical,Civil
219,JMI0002404,11605870,192,10303,Computer,Electronics,Electrical,Mechanical,Civil
220,JMI0086312,11113196,192,10304,Computer,Electronics,Electrical,Mechanical,Civil
221,JMI0005216,11610816,192,10351,Computer,Electronics,Electrical,Mechanical,Civil
222,JMI0016295,19809093,192,10356,Computer,Civil,Electrical,Electronics,Mechanical
223,JMI0002947,11615467,192,10395,Computer,Electronics,Electrical,Civil,Mechanical
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
